sequence	uuid	sample_barcode	sample_name	plate_name	plate_well_position	germplasm_name	number_of_plants	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	Submergence	Submergence.1	Drought
284	732d2e4e-c6c4-4a5e-8f77-942e7a4be866	153095812106053169321401878742228002918	RRN-93	Plate-44404	B01	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
285	242cca69-50a9-4504-9264-bcb99885c63e	48084774300692940652219016536840848958	RRN-94	Plate-44404	C01	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
286	06349c9c-2351-4e25-9025-ee3a2dac775f	8248543837775095532567255512198707039	RRN-95	Plate-44404	D01	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
287	7eab57e4-0f38-421d-a9d6-5a895e4d7e18	168372392870075713674554370588784033304	RRN-96	Plate-44404	E01	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
288	c2ce12f7-8d54-4762-8b4d-787c7f44406e	258940229031600133847671166723885908078	RRN-97	Plate-44404	F01	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
289	0cb51c08-016f-4bda-af37-4100d267f93f	16891110222552030623796899581673339199	RRN-98	Plate-44404	G01	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
290	c7f3e9cb-beef-4af9-8854-8517428885a2	265782841241668302251585915962796836258	RRN-99	Plate-44404	H01	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
291	ff03a233-80be-454c-804a-e6c6d1f7bfda	338972005646565336288789559460069097434	RRN-100	Plate-44404	A02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
292	7f575340-8dcc-47f2-814a-77d6ed892f90	169265373845860696877488222613432512400	RRN-101	Plate-44404	B02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
293	3a59c102-1b35-46e0-bf15-b58ad38d6e8d	77561252847865053133389997307694247565	RRN-102	Plate-44404	C02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
294	b3513ea0-d86c-4cca-a4e0-4a5d2e7bd413	238353657543922379721457227048322585619	RRN-103	Plate-44404	D02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
295	29576250-eff2-44ff-bc2c-f71835be4c56	54952071742528043031635066845048753238	RRN-104	Plate-44404	E02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
296	7d38ad95-0b59-4b63-830a-032531f853ee	166447788762562366343679973942181254126	RRN-105	Plate-44404	F02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
297	41d9bee4-97a6-4efc-b47a-0df833a1d127	87530419913100627579037124388660039975	RRN-106	Plate-44404	G02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
298	17fe241e-2b90-45f4-b778-5034122d8e32	31891819862193789280355319799127838258	RRN-107	Plate-44404	H02	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
299	8e39e161-00e3-460f-8ae2-88bf1a1db05c	189050907549961881650068170035672494172	RRN-108	Plate-44404	A03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
300	71c6c7a8-786f-422f-9a13-1aa9a2f61178	151234887848800523086228037071837467000	RRN-109	Plate-44404	B03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
301	371d2a86-a81b-4fc3-bd72-5541e54c7f35	73258978906871512617349690799246049077	RRN-110	Plate-44404	C03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
302	ad4106d6-1dd6-4dda-a1ea-23ca7120e352	230294081225113752836296996196626522962	RRN-111	Plate-44404	D03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
303	208e15fb-fc98-4b0c-ba0c-07d6ef567907	43273047914074054833414419151129573639	RRN-112	Plate-44404	E03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
304	62d7fa91-362c-4ae1-9e04-cd1345803f14	131385769518756957854081364068724129556	RRN-113	Plate-44404	F03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
305	6bd350dc-1a15-4cde-9f2c-65af787d92da	143324610217173253006181892146625090266	RRN-114	Plate-44404	G03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
306	ac451f6c-7952-40ab-959c-b0e94ee3c2d4	228986121107130821490375000376238916308	RRN-115	Plate-44404	H03	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
307	11c1ffc9-2d5b-48a6-b81a-0d99abf057fa	23604177175387568892118741471510681594	RRN-116	Plate-44404	A04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
308	391e795c-8df8-460c-a671-c45cbcb858eb	75924226169986773535895669219752696043	RRN-117	Plate-44404	B04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
309	3f7ae4c4-231a-424c-85ff-487092f0cdb4	84379463880164154843140386194598186420	RRN-118	Plate-44404	C04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
310	75545abb-9b18-4549-9b75-ff3eb0b3fce6	155957668723482319411392285421511900390	RRN-119	Plate-44404	D04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
311	beaf9b6c-ee73-452e-a1d3-757bf7e9af1b	253465123553304513746414497380816236315	RRN-120	Plate-44404	E04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
312	3144ee5b-d690-4904-9b78-314fde68d20e	65490082469493926184177575541816742414	RRN-121	Plate-44404	F04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
313	b916514b-6d92-454d-90f8-c12dc7186fd8	246023058602297983564484908083964309464	RRN-122	Plate-44404	G04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
314	ec9ea273-eed6-4914-8ed0-a7e514f3b2ee	314521484844399617056470485067499811566	RRN-123	Plate-44404	H04	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
315	a80e0b7e-3f9a-4be6-999b-2d7c3c9da465	223383228556823559826591448201971999845	RRN-124	Plate-44404	A05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
316	2b06e8f7-6e59-461b-912a-3f7905e4d052	57192682722438056263934421232825716818	RRN-125	Plate-44404	B05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
317	99bf0c6b-f669-40bc-b321-e7a89d6550c9	204363863997661468817122080100723282121	RRN-126	Plate-44404	C05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
318	d2eb5703-1344-494f-a0b6-d7e6ac6cc1ed	280359833689870791384590108762103923181	RRN-127	Plate-44404	D05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
319	c91e82d3-ef76-4ca3-a707-fb1d1abc496d	267333249563024833022175323793789831533	RRN-128	Plate-44404	E05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
320	7686741f-607d-4636-8d00-4dbbd7a748c3	157547026527112809683075105230625917123	RRN-129	Plate-44404	F05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
321	e1e375c1-9716-4c12-9f8f-d9e718f3fe86	300257338818211661867936135211566497414	RRN-130	Plate-44404	G05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
322	7b494f70-81a1-49fc-9348-f21b87fc269e	163875692376249137579477520899779602078	RRN-131	Plate-44404	H05	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
323	ba2cec0f-64ea-4a17-b0b0-a88fbfb12b02	247469656146090523799999608135443622658	RRN-132	Plate-44404	A06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
324	cd9f1b36-cffc-462e-b497-57a1e5770303	273317866304163243670370782945996112643	RRN-133	Plate-44404	B06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
325	ac00aa18-aad8-4a5f-9ab5-e9af3efd5ea6	228630665238987982131144901978606100134	RRN-134	Plate-44404	C06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
326	9d8128ee-35e3-46f8-9e21-9c38be597135	209359431802347076105132148563950268725	RRN-135	Plate-44404	D06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
327	052a7ddf-84b8-4501-b269-67da79f0e2e4	6866769457138528786484216632339129060	RRN-136	Plate-44404	E06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
328	6eadef26-f215-4566-8e0d-191f362019eb	147118197474353807044499196961406065131	RRN-137	Plate-44404	F06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
329	21074e6c-f014-472a-8ff5-675ecf4f4755	43902460597803520916738829343576246101	RRN-138	Plate-44404	G06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
330	3beed6fb-9d80-4db2-834d-8e014d9b25ba	79664578774309553976797184309759518138	RRN-139	Plate-44404	H06	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
331	57b915b0-2135-4204-8981-c2c4c78efb17	116603850437152293401938898532516690711	RRN-140	Plate-44404	A07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
332	adcd1fa9-2add-4c21-8bd9-52c08c2f3e77	231021506284313166325967323937366818423	RRN-141	Plate-44404	B07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
333	53194566-1df2-46f9-8aed-95b1055426fc	110457138648414577064020579929707259644	RRN-142	Plate-44404	C07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
334	ea56e51f-b037-4b83-8cb1-391591cd5c23	311490535725912792863049196690824059939	RRN-143	Plate-44404	D07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
335	1c8df8e7-af05-4742-ba3b-ce12c8cf6e15	37955546132484559413014919574346231317	RRN-144	Plate-44404	E07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
336	31fbc65a-4450-4c7a-8c75-c8258011e6e9	66439461373731324715479351400917493481	RRN-145	Plate-44404	F07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
337	b7fd1ff2-c7b6-4a94-9b33-4d2eeed935d3	244563022323569851435206501217471116755	RRN-146	Plate-44404	G07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
338	b8d94c4a-ab8e-4801-8bc7-791a08a788c3	245706227021834425976945765735643711683	RRN-147	Plate-44404	H07	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
339	934b3845-36fb-4f22-880b-9ec7e11a07c1	195787078943469767981802914523807090625	RRN-148	Plate-44404	A08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
340	724c1480-9e0a-44c1-bb4d-7abefda1ac66	151927021919036976774653700642728684646	RRN-149	Plate-44404	B08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
341	a4f5494e-5f33-4ac9-b66a-9f4dafaf7326	219266990864228062935661522336980366118	RRN-150	Plate-44404	C08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
342	67794f82-b82d-4040-a414-82a173a62efb	137540364152748811281351590142898745083	RRN-151	Plate-44404	D08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
343	a2767f64-d134-4726-a913-10649447bee5	215950210200044963455621681055047073509	RRN-152	Plate-44404	E08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
344	7e7cfb31-4470-4f28-b029-f9beea554432	168131667067528952557210588398170227762	RRN-153	Plate-44404	F08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
345	43c016b9-d517-43dd-a27b-d88cf7b93929	90055657650597828737675328400832149801	RRN-154	Plate-44404	G08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
346	af017a15-2fae-4498-9fe3-d813ae379a37	232622567691738343379700964971442051639	RRN-155	Plate-44404	H08	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
347	786fb0c7-ef86-42a4-ac65-2afe0ab01ad6	160087289990111081768827639795001858774	RRN-156	Plate-44404	A09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
348	59e6196f-2668-4392-b052-74e778483cbe	119496035768773131181038281195136761022	RRN-157	Plate-44404	B09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
349	b0b73269-4508-4253-b94f-f23afb25fdc5	234895340044058763973218280167463845317	RRN-158	Plate-44404	C09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
350	683aad4d-82b4-4727-ab3a-4b374ceb60c8	138544379777307210065875092268779266248	RRN-159	Plate-44404	D09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
351	4d3ede93-113e-4502-8af3-53969a90a9f8	102676992427476106252225994587714398712	RRN-160	Plate-44404	E09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
352	43b0044c-b894-4845-8b61-29e25064b3f3	89972207172794762959633713450702910451	RRN-161	Plate-44404	F09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
353	4d806911-d465-41a0-9335-79a2a01aa5d7	103017300738951359823747489396843783639	RRN-162	Plate-44404	G09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
354	d7786cdd-a592-493c-ac06-126c10542a45	286409302777684077664705753381625670213	RRN-163	Plate-44404	H09	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
355	b3ca348f-a671-4774-b2bb-f3608970b24a	238981721277362063546088431138053861962	RRN-164	Plate-44404	A10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
356	7c31a87f-2a96-4193-81ef-1fa42276a28e	165082111543367846546366356878221812366	RRN-165	Plate-44404	B10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
357	cb435df2-bed5-4c81-b018-5ae8e97a73ee	270183072530228238065708655802974893038	RRN-166	Plate-44404	C10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
358	26b50d3b-6e17-471a-a701-88a3e7f75df4	51450737951079534938288891068467863028	RRN-167	Plate-44404	D10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
359	6308f36b-8bb1-4b07-88b8-ebf04dc26434	131640047103754776972406345887880733748	RRN-168	Plate-44404	E10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
360	aa1981e4-6bed-4835-a2a3-dd6537fe1fe1	226101201233160745872030369250493210593	RRN-169	Plate-44404	F10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
361	2593f8b2-92d7-4f12-a72a-07dec8e742e9	49949747667886244008324588901824414441	RRN-170	Plate-44404	G10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
362	6d170f86-2cd8-4ba2-add3-16dbdd54946f	145005589234898788456008845941967983727	RRN-171	Plate-44404	H10	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
363	2a309ee1-f068-4108-9742-327de6a029ea	56080028593632518816189709177912830442	RRN-172	Plate-44404	A11	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
364	9965c5e8-f944-4cff-b256-9332504ec63d	203900319430574106851035673879219455549	RRN-173	Plate-44404	B11	RRN	173	KR104*2/Mwea-7b	BC1F1	KR 104	DP	Mwea-7b	RP	RRN-2018-P1				
365	42d53a51-415d-4207-ae74-b8b9a1bf0a51	88836189770139808906321739174490606161	ACN-1-1	Plate-44404	C11	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
366	bf493701-02e3-4d7d-b814-7b723916ab53	254262700478242099619669293107454061395	ACN-1-2	Plate-44404	D11	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
367	fce789ce-8c41-480a-8afd-354d334a5636	336167670566644345129384236507583895094	ACN-1-3	Plate-44404	E11	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
368	7b4fa813-2822-4a93-8bcc-5bfbab3d3b2d	163908643895938261049061153973011823405	ACN-1-4	Plate-44404	F11	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
369	f70c3211-6836-49b6-9132-8e06f6d00653	328382638020787654980999975364954424915	ACN-1-5	Plate-44404	G11	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
370	dee9adc0-6bb0-4d13-a89f-966d7a8d13ad	296301944334286604079822945029939073965	ACN-1-6	Plate-44404	A12	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
371	a0990b57-43ad-44eb-a10c-432f506b62ed	213471130765243112493480196761035956973	ACN-1-7	Plate-44404	B12	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
372	561612ba-aa4c-49a9-8f8e-0306dc792db0	114428218040906302553306081716675882416	ACN-1-8	Plate-44404	C12	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
373	e709b6ce-0c07-464c-90fc-bc9932b4e394	307102105421314337208554134369281041300	ACN-1-9	Plate-44404	D12	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
374	e708c9b8-9087-4b59-adbd-bb6d75561759	307097296788225484103888476741437888345	ACN-1-10	Plate-44404	E12	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
375	b6515c58-4f4b-4fdc-adb7-d07e3aa28a97	242341944256698209465455470017977158295	ACN-1-11	Plate-44404	F12	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
376	4be17310-8f63-45f1-b076-5cfb684d1d57	100862700266170417216795332343946354007	ACN-1-12	Plate-44404	G12	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
377	66cf8bfe-0bca-4ecc-b5a0-9fb04f3a1023	136658900402315224805030852131905212451	ACN-1-13	Plate-44405	A01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
378	c694bc4c-2e71-420b-ace7-3fc5fb52bfc9	263959422229195565883065048063987072969	ACN-1-14	Plate-44405	B01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
379	bc4d18cf-3328-4f9f-bd21-2e24e630abd2	250295173259563962473406494924841462738	ACN-1-15	Plate-44405	C01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
380	0c2d18b4-e651-4f33-9385-bd75da74efe5	16184890418232647194464854670482665445	ACN-1-16	Plate-44405	D01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
381	ab051a6e-fe08-4e06-ab58-e61e3499e667	227324484899880092285993381867871135335	ACN-1-17	Plate-44405	E01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
382	810d8ba7-b9a1-4555-8612-3fc6d09d8e88	171540743858902839122923525574055792264	ACN-1-18	Plate-44405	F01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
383	5948fb1b-8e04-4bf1-a016-f90f6442e106	118680230066594990464703226489482699014	ACN-1-19	Plate-44405	G01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
384	ae7e381f-7133-4098-93c2-5993e6846daf	231941038976795358974814990147971739055	ACN-1-20	Plate-44405	H01	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
385	a0007a88-bb87-426d-a423-d720fc1a7995	212678964612625502629300773735607466389	ACN-1-21	Plate-44405	A02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
386	9ac7a73f-bb3c-4bf2-b16b-154ef0c074ab	205737770637450114393028945696052507819	ACN-1-22	Plate-44405	B02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
387	0d2ea5f5-dc79-48bb-878f-08b6a1f15f39	17522175677414252593609785674535362361	ACN-1-23	Plate-44405	C02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
388	d874e02b-ec53-4fb8-855e-3ec682cb0fbd	287720100264833254271302037683674222525	ACN-1-24	Plate-44405	D02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
389	29545655-cc0b-4a95-9c17-e49c3d955515	54936251848066796468480270309321430293	ACN-1-25	Plate-44405	E02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
390	dbaccc0a-d56c-4720-8cc1-3150b6c3e467	291998144606456543570374268496034128999	ACN-1-26	Plate-44405	F02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
391	a35d5d99-9b29-471c-8258-76659c92e250	217148945354807108835401156349761086032	ACN-1-27	Plate-44405	G02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
392	5dd2ecc0-7647-4eb9-b83a-96f27ba450cd	124713387845368591177638093416300826829	ACN-1-28	Plate-44405	H02	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
393	f87a4bf8-b7b4-42da-a925-887a49247ec6	330283544057558642018265547063127473862	ACN-1-29	Plate-44405	A03	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
394	43c03cc5-e24d-4245-a4e3-56809c6ec834	90056429336989297268161828910338590772	ACN-1-30	Plate-44405	B03	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
395	05932ccc-5739-4147-9661-e3b1e65d4b56	7410316232691325509888004157794503510	ACN-1-31	Plate-44405	C03	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
396	fec0a903-6573-4e32-b2c8-b91876e34647	338624259922512205038356660535433578055	ACN-1-32	Plate-44405	D03	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
397	c18b845a-3642-4faa-949d-b5fb8392fcb1	257265416875219768663141600130063596721	ACN-1-33	Plate-44405	E03	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
398	c9bffeea-6fed-4c87-9578-dfde07c3a4e1	268171726158817311303208945846585631969	ACN-1-34	Plate-44405	F03	ACN-1	195	KIRY-B-SUB*2/Mwea-7b	BC1F1	KIRY-B-SUB	DP	Mwea-7b	RP	ACN-2018-P6				
